language;allowance_id;theme;group_by;financing_category;financing_id;financing_label;financing_year;financing_type;budget_or_final;donor_type;allowance_label
fr;623;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: BirdLife Schweiz, Acteur/trice: Umweltallianz, Zürich
fr;624;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: WWF Schweiz, Acteur/trice: Umweltallianz, Zürich
fr;625;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: WWF Schweiz, Acteur/trice: WWF Suisse, Zurich
fr;626;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: SUITO 1833, Acteur/trice: FDP.Die Liberalen Kanton Schwyz, Gersau
fr;627;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Freunde der FDP des Kantons Schwyz, Acteur/trice: FDP.Die Liberalen Kanton Schwyz, Gersau
fr;628;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Bulliard-Marbach Christine, Acteur/trice: Le Centre Fribourg, Fribourg
fr;629;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Bulliard-Marbach Christine, Acteur/trice: Le Centre Fribourg, Fribourg
fr;630;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Roth Pasquier Marie-France, Acteur/trice: Le Centre Fribourg, Fribourg
fr;631;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Roth Pasquier Marie-France, Acteur/trice: Le Centre Fribourg, Fribourg
fr;632;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Chassot Isabelle, Acteur/trice: Le Centre Fribourg, Fribourg
fr;633;allowances;alphabetical;Financement des campagnes;1;22.10.2023 Élections au Conseil national 2023;2023;campaign_financing;Montants finaux;personne physique;Donateur/trice: Chassot Isabelle, Acteur/trice: Le Centre Fribourg, Fribourg
fr;634;allowances;alphabetical;Financement des campagnes;2;22.10.2023 Élections au Conseil des États 2023;;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: SUITO 1833, Acteur/trice: FDP.Die Liberalen Kanton Schwyz, Gersau
fr;635;allowances;alphabetical;Financement des campagnes;2;22.10.2023 Élections au Conseil des États 2023;;campaign_financing;Montants finaux;personne morale ou société de personnes;Donateur/trice: Freunde der FDP des Kantons Schwyz, Acteur/trice: FDP.Die Liberalen Kanton Schwyz, Gersau
