declaration_id;candidate_count;candidate_party;candidate_canton;language;category;financing_id;with_budget;event_label;event_year;event_date;source_path;file_sha256;data_status;disclosure_run;date;actor_id;actor;actor_type;campaign_id;campaign;campaign_for;form_id;disclosure_report;total_income_chf;monetary_donations_chf;nonmonetary_donations_value_chf;event_income_chf;goods_services_income_chf;monetary_own_funds_chf;membership_fees_chf;mandate_contributions_income_chf
elections-1-F-011;16;;Argovie;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Schweizerische Volkspartei Aargau;Personne morale ou société de personnes;;Giezendanner Benjamin (Argovie, Union Démocratique du Centre), Glarner Andreas (Argovie, Union Démocratique du Centre), Burgherr Thomas (Argovie, Parti évangélique suisse), Bircher Martina (Argovie, Union Démocratique du Centre), Heimgartner Stefanie (Argovie, Union Démocratique du Centre), Huber Alois (Argovie, Union Démocratique du Centre), Riner Christoph (Argovie, Union Démocratique du Centre), Glur Christian (Argovie, Union Démocratique du Centre), Hagenbuch Christoph (Argovie, Union Démocratique du Centre), Stutz Désirée (Argovie, Union Démocratique du Centre), Barp Miro (Argovie, Union Démocratique du Centre), Borer-Mathys Barbara (Argovie, Union Démocratique du Centre), Burger Nicole (Argovie, Union Démocratique du Centre), Gosteli Patrick (Argovie, Union Démocratique du Centre), Gut Philipp (Argovie, Union Démocratique du Centre), Jäggi Rolf (Argovie, Union Démocratique du Centre);Groupe de personnes candidates (liste nominative);;Déclaration du décompte final des recettes;267522.0;80000.0;0.0;0.0;0.0;187522.0;;
elections-1-F-012;12;;Saint-Gall;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Kantonaler Gewerbeverband St. Gallen;Personne morale ou société de personnes;;Vincenz-Stauffacher Susanne (Saint-Gall, PLR.Les Libéraux-Radicaux), Dobler Marcel (Saint-Gall, PLR.Les Libéraux-Radicaux), Abderhalden Andrea (Saint-Gall, PLR.Les Libéraux-Radicaux), Toldo Thomas (Saint-Gall, PLR.Les Libéraux-Radicaux), Paganini Nicolo (Saint-Gall, Le Centre), Bärlocher Christoph (Saint-Gall, Le Centre), Dürr Patrick (Saint-Gall, Le Centre), Grünenfelder Daniel (Saint-Gall, Le Centre), Büchel Roland Rino (Saint-Gall, Union Démocratique du Centre), Egger Mike (Saint-Gall, Union Démocratique du Centre), Gartmann Walter (Saint-Gall, Union Démocratique du Centre), Götte Michael (Saint-Gall, Union Démocratique du Centre);Groupe de personnes candidates (liste nominative);;Déclaration du décompte final des recettes;166714.8;0.0;0.0;0.0;0.0;166714.8;;
elections-1-F-013;1;PLR.Les Libéraux-Radicaux;Zurich;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Silberschmidt Andri;Personne physique;;Silberschmidt Andri (Zurich, PLR.Les Libéraux-Radicaux);Personne individuelle;;Déclaration du décompte final des recettes;303017.0;298017.0;5000.0;0.0;0.0;0.0;;
elections-1-F-014;27;Les VERT-E-S suisses;Lucerne;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Grüne Kanton Luzern;Personne morale ou société de personnes;;Spring Laura (Lucerne, Les VERT-E-S suisses), Töngi Michael (Lucerne, Les VERT-E-S suisses), Wiget Alina (Lucerne, Les VERT-E-S suisses), Zbinden Samuel (Lucerne, Les VERT-E-S suisses), Günes Erbil (Lucerne, Les VERT-E-S suisses), Estermann Rahel (Lucerne, Les VERT-E-S suisses), Aregger Markus (Lucerne, Les VERT-E-S suisses), Studhalter Irina (Lucerne, Les VERT-E-S suisses), Koch Hannes (Lucerne, Les VERT-E-S suisses), Heselhaus Sabine (Lucerne, Les VERT-E-S suisses), Hofer Andreas (Lucerne, Les VERT-E-S suisses), Christen Weizenegger Claudia (Lucerne, Les VERT-E-S suisses), Wiget Cyrill (Lucerne, Les VERT-E-S suisses), Kopp Gabi (Lucerne, Les VERT-E-S suisses), Steiger Urs (Lucerne, Les VERT-E-S suisses), Felber Caroline (Lucerne, Les VERT-E-S suisses), Lerch Peter (Lucerne, Les VERT-E-S suisses), Hruza Schmid Peter (Lucerne, Les VERT-E-S suisses), Meile Antonia (Lucerne, Les VERT-E-S suisses), Rolla Christov (Lucerne, Les VERT-E-S suisses), Sebastiampillai Sofia (Lucerne, Les VERT-E-S suisses), Liembd Marco (Lucerne, Les VERT-E-S suisses), Meyer Simon (Lucerne, Les VERT-E-S suisses), Mahler Val (Lucerne, Les VERT-E-S suisses), Ciallella Jan (Lucerne, Les VERT-E-S suisses), Walther Lukas (Lucerne, Les VERT-E-S suisses), Wüest Angela (Lucerne, Les VERT-E-S suisses);Groupe de personnes candidates (liste nominative);;Déclaration du décompte final des recettes;135393.44;71071.59;41.97;0.0;0.0;64279.88;;
elections-1-F-015;1;Les VERT-E-S suisses;dans toute la Suisse;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Les VERT-E-S suisses;Personne morale ou société de personnes;;Nationalratswahlen (dans toute la Suisse, Les VERT-E-S suisses);Groupement politique des personnes candidates (saisie nominative pas possible);;Déclaration du décompte final des recettes;1386631.2;841231.2;400.0;0.0;0.0;545000.0;;
elections-1-F-016;1;Union Démocratique du Centre;Lucerne;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Grüter Franz;Personne physique;;Grüter Franz (Lucerne, Union Démocratique du Centre);Personne individuelle;;Déclaration du décompte final des recettes;100591.3;82046.55;0.0;0.0;0.0;18544.75;;
elections-1-F-017;1;PLR.Les Libéraux-Radicaux;Tessin;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Farinelli Alex;Personne physique;;Farinelli Alex (Tessin, PLR.Les Libéraux-Radicaux);Personne individuelle;;Déclaration du décompte final des recettes;88905.0;30240.45;37250.0;0.0;0.0;21400.0;;
elections-1-F-018;1;PLR.Les Libéraux-Radicaux;Zurich;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Walti Beat;Personne physique;;Walti Beat (Zurich, PLR.Les Libéraux-Radicaux);Personne individuelle;;Déclaration du décompte final des recettes;108252.0;108252.0;0.0;0.0;0.0;0.0;;
elections-1-F-019;1;PLR.Les Libéraux-Radicaux;Zurich;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Avdili Përparim;Personne physique;;Avdili Përparim (Zurich, PLR.Les Libéraux-Radicaux);Personne individuelle;;Déclaration du décompte final des recettes;113282.74;97681.1;5000.0;0.0;0.0;10601.64;;
elections-1-F-020;1;Parti socialiste suisse;dans toute la Suisse;fr;elections;1;FALSE;22.10.2023 Élections au Conseil national 2023;2023;22.10.2023;/api/frontend/latest/fr/downloads/financings/1?with_budget=false;3cb856f14befb5a070b4608cd34e2aeb5d53e431b077331e7c2d6e7778ab6663;13.11.24 10:15:43;Élections au Conseil national 2023;22.10.2023;;Jeunesse Socialiste Suisse;Personne morale ou société de personnes;;Nationale Wahlen 2023 JUSO Schweiz (dans toute la Suisse, Parti socialiste suisse);Groupement politique des personnes candidates (saisie nominative pas possible);;Déclaration du décompte final des recettes;90790.5;55122.45;7140.0;5393.05;3135.0;20000.0;;
